chose: chose 
encourage: encourage 
respectful: respectful 
movie: movie 
actor: actor 
smith: smith 
played: played 
biopic: biopic 
film: film 
released: released 
hold: holds 
torch: torch 
lighting: lighting 
flame: flame 
opening: opening 
ceremony: ceremony 
centennial: centennial 
georgia: georgia 
july: july 
michael: michael 
died: died 
hospitalized: hospitalized 
respiratory: respiratory 
issue: issue 
legend: legend 
battled: battled 
pneumonia: pneumonia 
severe: severe 
urinary: urinary 
tract: tract 
infection: infection 
funeral: funeral 
memorial: memorial 
passing: passing 
planned: planned 
saying: saying 
c: c 
inclusive: inclusive 
everyone: everyone 
give: give 
opportunity: opportunity 
want: want 
pay: pay 
respect: respects 
according: according 
spokesman: spokesman 
day: day 
event: event 
included: included 
festival: festival 
art: arts 
entertainment: entertainment 
educational: educational 
offering: offerings 
sponsored: sponsored 
islamic: islamic 
prayer: prayer 
program: program 
prior: prior 
procession: procession 
mile: miles 
past: past 
childhood: childhood 
home: home 
boulevard: boulevard 
ten: tens 
thousand: thousands 
tossed: tossed 
flower: flowers 
hearse: hearse 
cheered: cheered 
champ: champ 
kfc: kfc 
yum: yum 
arena: arena 
close: close 
attendance: attendance 
speaker: speakers 
leader: leaders leader 
various: various 
faith: faiths 
attallah: attallah 
shabazz: shabazz 
malcolm: malcolm 
eldest: eldest 
broadcaster: broadcaster 
bryant: bryant 
gumbel: gumbel 
former: former 
bill: bill 
clinton: clinton 
comedian: comedian 
billy: billy 
crystal: crystal 
rasheda: rasheda 
widow: widow 
indicated: indicated 
end: end 
came: came 
teaching: teaching 
effect: effect 
remind: remind 
injustice: injustice 
grew: grew 
segregation: segregation 
embittered: embittered 
enough: enough 
quit: quit 
engage: engage 
violence: violence 
spoke: spoke 
self: self 
empowerment: empowerment 
decided: decided 
possibly: possibly 
disempowered: disempowered 
race: race 
expectation: expectations 
others: others 
positive: positive 
negative: negative 
otherwise: otherwise 
strip: strip 
power: power 
write: write 
struggling: struggling 
ultimately: ultimately 
silent: silent 
taught: taught 
bridge: bridges 
wall: walls 
inspired: inspired 
version: version 
father: father 
may: may 
live: live 
paradise: paradise 
shaking: shaking 
creator: creator 
daddy: daddy 
meet: meet 
pallbearer: pallbearers 
mike: mike 
tyson: tyson 
lennox: lennox 
lewis: lewis 
buried: buried 
cave: cave 
hill: hill 
cemetery: cemetery 
stature: stature 
continues: continues 
grow: grow 
even: even 
celebrated: celebrated 
remarkable: remarkable 
willingness: willingness 
speak: speak 
mind: mind 
courage: courage 
challenge: challenge 
quo: quo 
check: check 
strive: strive 
accuracy: accuracy 
fairness: fairness 
see: see 
something: something 
look: look 
right: right 
citation: citation 
information: information 
article: article 
author: author 
com: com 
editor: editors 
website: website 
url: url 
access: access 
publisher: publisher 
e: e 
television: television 
network: networks 
last: last 
updated: updated 
october: october 
original: original 
published: published 
receive: receive 
shaped: shaped 
sign: sign 
person: person 
jinnah: jinnah 
statesman: statesman 
led: led 
pakistan: pakistan 
independence: independence 
controlled: controlled 
india: india 
governor: governor 
general: general 
constituent: constituent 
assembly: assembly 
established: established 
reputation: reputation 
personality: personality 
elijah: elijah 
rose: rose 
poverty: poverty 
charismatic: charismatic 
nationalist: nationalist 
mentor: mentor 
louis: louis 
farrakhan: farrakhan 
prophet: prophet 
founder: founder 
ibtihaj: ibtihaj 
